Текст вопроса;Баллы
Была ли у вас остановка сердца или применяли электрошок для восстановления ритма в последние 2 дня?;4
Вы находитесь на аппарате искусственного дыхания?;4
Вам вводят лекарства для полного расслабления мышц при искусственном дыхании?;4
Вам ставили специальный баллон в пищевод для остановки сильного кровотечения?;4
Вы получаете все питательные вещества только через капельницу?;3
Вам установили временный кардиостимулятор?;3
Вам поставили дренажные трубки в грудную клетку?;3
Вы дышите через аппарат с поддерживающим режимом?;3
Вы дышите через маску с постоянным давлением?;3
Вам измеряют давление в центральных венах?;2
Вам поставили два катетера в вены?;2
Вам проводят процедуру очищения крови в стабильном состоянии?;2
Вам сделали отверстие в трахее менее 2 дней назад?;2
Вы дышите через трубку самостоятельно?;2
За вами постоянно наблюдают по кардиомонитору?;1
У вас каждый час проверяют давление и пульс?;1
Вам поставили один катетер в вену?;1
Вы постоянно принимаете препараты против свертывания крови?;1
